type,time,id,speed,relative_position
,77.2,f_1W.0,13.83,599.73
,77.3,f_1W.0,13.85,601.12
,77.4,f_1W.0,13.87,602.51
,77.5,f_1W.0,13.88,603.89
,77.6,f_1W.0,13.87,605.28
,77.7,f_1W.0,13.87,606.67
,77.8,f_1W.0,13.86,608.05
,77.9,f_1W.0,13.86,609.44
,78,f_1W.0,13.83,610.82
,78.1,f_1W.0,13.85,612.21
,78.2,f_1W.0,13.79,613.59
,78.3,f_1W.0,13.86,614.97
,78.4,f_1W.0,13.81,616.35
,78.5,f_1W.0,13.88,617.74
,78.6,f_1W.0,13.83,619.13
,78.7,f_1W.0,13.81,620.51
,78.8,f_1W.0,13.79,621.89
,78.9,f_1W.0,13.86,623.27
,79,f_1W.0,13.84,624.66
,79.1,f_1W.0,13.87,626.04
,79.2,f_1W.0,13.85,627.43
,79.3,f_1W.0,13.89,628.82
,79.4,f_1W.0,13.81,630.2
,79.5,f_1W.0,13.84,631.58
,79.6,f_1W.0,13.89,632.97
,79.7,f_1W.0,13.8,634.35
,79.8,f_1W.0,13.84,635.74
,79.9,f_1W.0,13.81,637.12
,80,f_1W.0,13.85,638.5
,80.1,f_1W.0,13.89,639.89
,80.2,f_1W.0,13.86,641.28
,80.3,f_1W.0,13.81,642.66
,80.4,f_1W.0,13.87,644.05
,80.5,f_1W.0,13.81,645.43
,80.6,f_1W.0,13.88,646.81
,80.7,f_1W.0,13.87,648.2
,80.8,f_1W.0,13.78,649.58
,80.9,f_1W.0,13.82,650.96
,81,f_1W.0,13.87,652.35
,81.1,f_1W.0,13.8,653.73
,81.2,f_1W.0,13.77,655.1
,81.3,f_1W.0,13.89,656.49
,81.4,f_1W.0,13.81,657.87
,81.5,f_1W.0,13.79,659.25
,81.6,f_1W.0,13.85,660.64
,81.7,f_1W.0,13.87,662.02
,81.8,f_1W.0,13.78,663.4
,81.9,f_1W.0,13.83,664.79
,82,f_1W.0,13.8,666.17
,82.1,f_1W.0,13.88,667.55
,82.2,f_1W.0,13.83,668.94
,82.3,f_1W.0,13.79,670.32
,82.4,f_1W.0,13.78,671.69
,82.5,f_1W.0,13.79,673.07
,82.6,f_1W.0,13.82,674.46
,82.7,f_1W.0,13.8,675.83
,82.8,f_1W.0,13.88,677.22
,82.9,f_1W.0,13.82,678.61
,83,f_1W.0,13.82,679.99
,83.1,f_1W.0,13.86,681.37
,83.2,f_1W.0,13.78,682.75
,83.3,f_1W.0,13.84,684.14
,83.4,f_1W.0,13.87,685.52
,83.5,f_1W.0,13.88,686.91
,83.6,f_1W.0,13.81,688.29
,83.7,f_1W.0,13.85,689.68
,83.8,f_1W.0,13.79,691.05
,83.9,f_1W.0,13.83,692.44
,84,f_1W.0,13.78,693.82
,84.1,f_1W.0,13.8,695.2
,84.2,f_1W.0,13.85,696.58
,84.3,f_1W.0,13.79,697.96
